id,method,path,expected,status,latency_ms,verdict,note,response_snippet
TC-FC-001,GET,/forecast/run,200 forecast run,200,276.3,PASS,,"{""forecast_years"": [2025, 2026, 2027, 2028, 2029, 2030], ""forecast_values"": [128181.58745717055, 129644.79690808072, 130831.86543016483, 131794.90710218684, 132576.20089003208, 133210.0467563734], ""ci_lower"": [120995.817"
TC-FC-002,GET,/forecast/backtest,200 backtest,200,234.8,PASS,,"{""model_name"": ""SARIMA(1, 1, 1)(0, 0, 0, 0)"", ""train_period"": ""2003-2020"", ""test_period"": ""2021-2025"", ""actual_values"": [106115.0, 111516.0, 118004.0, 126941.0, 126378.0], ""predicted_values"": [101541.86799495258, 104785."
TC-FC-003,GET,/forecast/models,200 model registry,200,80.6,PASS,,"{""items"": [{""id"": ""dd0c8d61-b569-40e7-b0c7-d0d1f18818ab"", ""model_id"": ""b418d1fe-d788-4d58-b982-6133a5d9689a"", ""run_type"": ""backtest"", ""target_variable"": ""total_consumption_gwh"", ""hyperparameters"": ""{\""order\"": [1, 1, 1]}"
TC-AUTH-003,GET,/protected/me,401 no token,401,2.2,PASS,,"{""detail"": ""Missing token""}"
TC-AUTH-003b,GET,/protected/me,401 malformed token,401,464.2,PASS,,"{""detail"": ""Invalid token""}"
TC-AUTH-004,GET,/protected/profile,401 no token,401,4.9,PASS,,"{""detail"": ""Missing token""}"
TC-AUTH-007,GET,/simulations,401 no token,401,3.2,PASS,,"{""detail"": ""Missing token""}"
TC-AUTH-007b,POST,/simulations,401 no token,401,6.0,PASS,,"{""detail"": ""Missing token""}"
TC-AUTH-008,GET,/simulations/00000000-0000-0000-0000-000000000000,401 no token,401,2.2,PASS,,"{""detail"": ""Missing token""}"
TC-ADM-001,GET,/admin/users,401/403 no token,401,2.5,PASS,,"{""detail"": ""Missing token""}"
TC-ADM-001b,GET,/admin/users,401/403 bad token,401,137.1,PASS,,"{""detail"": ""Invalid token""}"
TC-ADM-002,GET,/admin/analytics,401/403 no token,401,2.2,PASS,,"{""detail"": ""Missing token""}"
TC-ADM-003,GET,/admin/config,401/403 no token,401,2.8,PASS,,"{""detail"": ""Missing token""}"
TC-ADM-004,GET,/admin/usage,401/403 no token,401,4.7,PASS,,"{""detail"": ""Missing token""}"
TC-ADM-005,GET,/admin/logs,401/403 no token,401,1.8,PASS,,"{""detail"": ""Missing token""}"
TC-SEC-INJ-01,GET,/ecosim/,4xx injection rejected,422,2.7,PASS,,"{""detail"": [{""type"": ""int_parsing"", ""loc"": [""query"", ""municipality_id""], ""msg"": ""Input should be a valid integer, unable to parse string as an integer"", ""input"": ""1 OR 1=1""}]}"
TC-SEC-INJ-02,GET,/energyhub/forecast,4xx injection rejected,200,2.9,FAIL,,"{""forecast_years"": [2025, 2026, 2027, 2028, 2029, 2030], ""forecast_values"": [104579.74, 107403.3, 110226.69, 113049.9, 115872.94, 118695.79], ""ci_lower"": [98201.23, 98255.89, 98870.21, 99761.98, 100823.92, 102002.03], ""c"
TC-SEC-INJ-03,GET,/geospatial/centroids/../../etc/passwd/1,4xx path traversal rejected,404,1.8,PASS,,"{""detail"": ""Not Found""}"
TC-SEC-INJ-04,GET,/products/recommend,4xx injection rejected,200,5.9,FAIL,,"{""energy_type"": ""solar' OR '1'='1"", ""items"": [], ""count"": 0, ""note"": ""Prices converted from USD using PHP 56 = 1 USD when applicable. Links may be outdated; verify before purchase.""}"
