lat,lon,heat_flow_mw_m2,elevation,environment
4.241785,113.94851,43.96140664,0.0,[onshore (continental)]
4.242509,113.01973,60.29235272,-65.0,[offshore (continental)]
4.242576,112.21911,63.47786466,-62.0,[offshore (continental)]
4.248688,112.34264,52.94411179,-62.0,[offshore (continental)]
4.25014,112.72074,47.79427031,-70.0,[offshore (continental)]
4.251869,111.46904,83.68855249,-75.0,[offshore (continental)]
4.253651,113.78308,40.54143857,-23.0,[offshore (continental)]
4.253651,113.78308,40.31200533,-23.0,[offshore (continental)]
4.257398,114.26997,38.46696995,0.0,[onshore (continental)]
4.259446,112.44541,49.58210218,-70.1,[offshore (continental)]
4.260603,112.34822,54.1247184,-69.0,[offshore (continental)]
4.263606,112.05766,66.95819577,-68.0,[offshore (continental)]
4.264511,112.31226,58.81202635,-63.0,[offshore (continental)]
4.264628,111.51526,63.05221984,-73.0,[offshore (continental)]
4.268533,113.53456,66.25499747,-47.0,[offshore (continental)]
4.272629,113.78283,36.18263563,-25.0,[offshore (continental)]
4.275988,114.2831,32.34489885,0.0,[onshore (continental)]
4.282288,114.26353,37.00399204,0.0,[onshore (continental)]
4.294758,114.27987,36.38535313,0.0,[onshore (continental)]
4.2983,113.802,55.0,-24.7,[offshore (continental)]
4.298668,113.79848,36.38816933,-25.0,[offshore (continental)]
4.305977,112.38828,73.79474941,-65.0,[offshore (continental)]
4.31609,113.78115,56.60339426,-28.0,[offshore (continental)]
4.320186,112.60543,49.93985762,-67.0,[offshore (continental)]
4.320437,112.16585,58.68384356,-66.0,[offshore (continental)]
4.326724,112.68748,56.2,-70.0,[offshore (continental)]
4.326724,112.68748,56.2,-70.0,[offshore (continental)]
4.326724,112.68748,56.2,-70.0,[offshore (continental)]
4.329311,112.35488,64.7435903,-67.0,[offshore (continental)]
4.3376,111.57817,75.00158518,-78.0,[offshore (continental)]
4.342385,113.94181,37.98727042,-5.0,[offshore (continental)]
4.3447,112.6825,82.0,0.0,[offshore (continental)]
4.345,112.682,83.0,-66.1,[offshore (continental)]
4.355746,114.29192,33.52518,0.0,"[onshore (lake, river, etc.)]"
4.358435,111.39822,77.08861436,-85.0,[offshore (continental)]
4.358849,113.9448,34.01454065,-5.0,[offshore (continental)]
4.362711,113.77635,41.25287221,-32.0,[offshore (continental)]
4.364554,113.77528,39.02763155,-36.0,[offshore (continental)]
4.37856,112.54354,48.74629853,-70.0,[offshore (continental)]
4.385771,112.20918,60.98125227,-70.0,[offshore (continental)]
4.390796,113.71758,48.81062326,-46.0,[offshore (continental)]
4.396367,112.20433,59.11503469,-75.0,[offshore (continental)]
4.3967,113.607,75.0,-47.9,[offshore (continental)]
4.397038,113.60905,54.88100103,-56.0,[offshore (continental)]
4.3972,113.6061,74.0,0.0,[offshore (continental)]
4.398268,111.6372,71.41575499,-82.0,[offshore (continental)]
4.399174,113.71478,41.89597898,-46.0,[offshore (continental)]
4.4,132.7,10.0416,,[offshore (continental)]
4.402345,113.71475,51.02765166,-43.0,[offshore (continental)]
4.40305,112.67403,55.86658293,-74.0,[offshore (continental)]
4.406548,113.72019,40.24162834,-46.0,[offshore (continental)]
4.4167,119.95,101.0,-3082.9,[offshore (continental)]
4.417,119.95,101.0,-2994.0,[offshore (continental)]
4.420423,112.69795,68.11375428,-73.0,[offshore (continental)]
4.4211,112.6944,95.0,0.0,[offshore (continental)]
4.4217,112.695,95.0,-70.8,[offshore (continental)]
4.422883,113.72532,50.34869685,-46.0,[offshore (continental)]
4.431606,113.72719,46.99144034,-46.0,[offshore (continental)]
4.438083,112.72223,54.18343775,-75.0,[offshore (continental)]
4.445094,112.07634,67.70885056,-77.0,[offshore (continental)]
4.452241,114.02122,53.32413617,0.0,[onshore (continental)]
4.462634,112.37103,56.1589808,-76.0,[offshore (continental)]
4.463193,113.726,37.96334309,-47.0,[offshore (continental)]
4.475047,113.72445,40.2028667,-51.0,[offshore (continental)]
4.488086,112.47991,67.59106947,-76.0,[offshore (continental)]
4.488823,113.90126,51.3967748,-17.0,[offshore (continental)]
4.496837,113.90949,35.81817197,-25.0,[offshore (continental)]
4.500932,113.91074,40.23540437,-29.0,[offshore (continental)]
4.500935,113.91071,45.49547995,-13.0,[offshore (continental)]
4.504008,113.72037,45.00864172,-58.0,[offshore (continental)]
4.507864,114.0082,39.61445093,0.0,[onshore (continental)]
4.516447,113.93266,44.71778213,-9.0,[offshore (continental)]
4.521031,113.94185,44.7009866,-16.0,[offshore (continental)]
4.522833,113.94111,32.04763229,-15.0,[offshore (continental)]
4.525423,112.09631,64.79052817,-80.0,[offshore (continental)]
4.528056,112.70056,65.38350591,-79.0,[offshore (continental)]
4.533919,113.62202,60.26693034,-64.0,[offshore (continental)]
4.542175,113.62469,48.0498183,-66.0,[offshore (continental)]
4.544271,111.76782,79.61392895,-83.0,[offshore (continental)]
4.546706,113.59336,39.28888973,-67.0,[offshore (continental)]
4.549143,113.62264,44.57254062,-67.0,[offshore (continental)]
4.550577,114.17746,43.84504586,0.0,[onshore (continental)]
4.571562,113.83107,44.11739719,-46.0,[offshore (continental)]
4.571799,111.98402,81.73335087,-85.0,[offshore (continental)]
4.576289,112.73334,60.99779678,-82.0,[offshore (continental)]
4.584132,111.1752,67.34921292,-92.0,[offshore (continental)]
4.584254,113.52365,44.17866208,-73.0,[offshore (continental)]
4.590405,113.54367,42.24180386,-74.0,[offshore (continental)]
4.593386,113.40356,51.77189332,-73.0,[offshore (continental)]
4.593943,113.56046,48.6580946,-73.0,[offshore (continental)]
4.59403,113.98526,37.68873915,0.0,[onshore (continental)]
4.598572,112.34063,61.88624599,-83.0,[offshore (continental)]
4.608204,113.64256,43.30929316,-72.0,[offshore (continental)]
4.608219,113.64254,40.53358213,-75.0,[offshore (continental)]
4.6083,113.64,51.0,-70.7,[offshore (continental)]
4.608868,113.64798,36.90291151,-71.0,[offshore (continental)]
